,Class,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Distance in Speed zone 2 [yd] (0.10 - 2.59 mph),Distance in Speed zone 3 [yd] (2.60 - 5.13 mph),Distance in Speed zone 4 [yd] (5.14 - 8.38 mph),Distance in Speed zone 5 [yd] (8.39- mph),Number of accelerations (-50.00 - -3.00 m/s),Number of accelerations (-2.99 - -2.00 m/s),Number of accelerations (-1.99 - -1.00 m/s),Number of accelerations (-0.99 - -0.50 m/s),Number of accelerations (0.50 - 0.99 m/s),Number of accelerations (1.00 - 1.99 m/s),Number of accelerations (2.00 - 2.99 m/s),Number of accelerations (3.00 - 50.00 m/s),Min Played,Total accelerations
23,Forward,12121,69,18.9,2.5,0.4153846153846154,0.1315073013777741,0.3211781206171108,0.34246349311112945,0.2044385776751093,0.00594421582075903,0.029721079103795154,0.1700960219478738,0.31641518061271146,0.27343392775491543,0.15089163237311384,0.04663923182441701,0.006858710562414266,65,2187.0
24,Midfielder,5213,30,14.0,1.1,0.5294117647058824,0.27393055821983503,0.2633800115096873,0.3238058699405333,0.13773259159792825,0.006202618883528601,0.02343211578221916,0.14610613370089592,0.3459682977257064,0.3177119228118539,0.13921433494141972,0.016540317022742935,0.004824259131633356,17,1451.0
25,Forward,9450,54,18.5,2.0,0.3333333333333333,0.16613756613756614,0.3143915343915344,0.30328042328042326,0.21576719576719577,0.014084507042253521,0.0390032502708559,0.1570964247020585,0.3028169014084507,0.2843986998916576,0.15872156013001085,0.035211267605633804,0.00866738894907909,57,1846.0
26,Defender,7095,41,16.1,1.5,0.5757575757575758,0.1715292459478506,0.3190979563072586,0.3293868921775899,0.17942212825933757,0.006221719457013574,0.035633484162895926,0.1668552036199095,0.31165158371040724,0.27828054298642535,0.15554298642533937,0.03959276018099547,0.006221719457013574,33,1768.0
27,Defender,3622,21,13.5,0.8,0.8333333333333334,0.22943125345113197,0.3003865267807841,0.2992821645499724,0.1695196024295969,0.0074142724745134385,0.03151065801668211,0.1334569045412419,0.35588507877664505,0.3076923076923077,0.13067655236329936,0.030583873957367932,0.0027803521779425394,6,1079.0
28,Midfielder,12161,70,16.5,2.5,0.34615384615384615,0.1581284433845901,0.3564673957733739,0.33015377024915715,0.15500370035358935,0.008037225042301184,0.03003384094754653,0.1484771573604061,0.3422165820642978,0.2880710659898477,0.1383248730964467,0.03764805414551607,0.0071912013536379014,78,2364.0
29,Defender,13046,75,17.7,2.8,0.1,0.17622259696458684,0.37766365169400584,0.3301395063621033,0.11574428943737544,0.00561377245508982,0.02133233532934132,0.14296407185628743,0.3323353293413174,0.32672155688622756,0.14820359281437126,0.019835329341317365,0.0029940119760479044,90,2672.0
30,Defender,10549,60,17.9,2.2,0.14035087719298245,0.16655607166556072,0.32410655038392266,0.3669542136695421,0.14190918570480615,0.003826530612244898,0.01403061224489796,0.1564625850340136,0.34523809523809523,0.3052721088435374,0.14710884353741496,0.025085034013605442,0.002976190476190476,57,2352.0
31,Midfielder,4988,29,15.8,1.1,0.7142857142857143,0.18765036086607859,0.28829190056134724,0.37209302325581395,0.15136327185244586,0.004322766570605188,0.02521613832853026,0.1628242074927954,0.33285302593659943,0.29971181556195964,0.14265129682997119,0.02881844380403458,0.0036023054755043226,14,1388.0
32,Midfielder,9636,55,17.0,2.0,0.29411764705882354,0.1694686591946866,0.271689497716895,0.34973017849730176,0.20869655458696554,0.008356545961002786,0.029712163416898793,0.1522748375116063,0.3370473537604457,0.2906220984215413,0.149025069637883,0.028319405756731662,0.004642525533890436,51,2154.0
33,Forward,5987,34,17.3,1.3,0.4,0.20511107399365291,0.32370135293135127,0.28344746951728744,0.18707198931017205,0.010252904989747095,0.02939166097060834,0.14764183185235816,0.3287764866712235,0.2959671907040328,0.151742993848257,0.03144224196855776,0.004784688995215311,25,1463.0
34,Midfielder,5016,29,14.1,1.0,0.375,0.1854066985645933,0.3149920255183413,0.3562599681020734,0.14274322169059012,0.005240174672489083,0.027074235807860263,0.1554585152838428,0.3292576419213974,0.28820960698689957,0.1615720524017467,0.03056768558951965,0.0026200873362445414,16,1145.0
35,Defender,7256,42,15.3,1.5,0.2972972972972973,0.19197905181918412,0.35019294377067256,0.31422271223814774,0.14264057331863286,0.0058823529411764705,0.023529411764705882,0.1625668449197861,0.3251336898395722,0.2967914438502674,0.14224598930481283,0.039037433155080216,0.004812834224598931,37,1870.0
36,Midfielder,12955,74,16.0,2.8,0.24444444444444444,0.15322269394056348,0.36920108066383633,0.3463527595522964,0.13099189502122732,0.006211180124223602,0.028338509316770188,0.16886645962732919,0.3136645962732919,0.2876552795031056,0.15644409937888198,0.03260869565217391,0.006211180124223602,90,2576.0
38,Midfielder,9768,56,17.2,2.0,0.44,0.17547092547092547,0.2937141687141687,0.326986076986077,0.20321457821457822,0.010326311441553077,0.033044196612969846,0.14539446509706733,0.3151590251961999,0.3114415530772408,0.14332920280875672,0.03510945890128046,0.006195786864931847,50,2421.0
40,Defender,13155,75,18.1,2.8,0.18888888888888888,0.169517293804637,0.32329912580767767,0.34709236031927027,0.15993918662105663,0.004130524576621231,0.025196199917389507,0.157786038826931,0.3333333333333333,0.31020239570425445,0.14209004543577033,0.023543990086741014,0.0037174721189591076,90,2421.0
41,Defender,13063,75,18.0,2.8,0.12222222222222222,0.1864809002526219,0.3323891908443696,0.36017760085738343,0.120646099670826,0.004985754985754986,0.02207977207977208,0.1623931623931624,0.3212250712250712,0.2916666666666667,0.16381766381766383,0.0316951566951567,0.002136752136752137,90,2808.0
42,Forward,7691,44,16.3,1.6,0.4857142857142857,0.17722012742166168,0.3290859446105838,0.32297490573397475,0.17006891171499156,0.00594883997620464,0.0362879238548483,0.16061867935752527,0.3206424747174301,0.27900059488399764,0.15942891136228435,0.030339083878643664,0.007733491969066032,35,1681.0
46,Forward,14660,87,18.6,3.7,0.35555555555555557,0.09358799454297408,0.3013642564802183,0.36807639836289224,0.2368349249658936,0.00967741935483871,0.035483870967741936,0.17603686635944701,0.31336405529953915,0.2368663594470046,0.1672811059907834,0.05161290322580645,0.00967741935483871,90,2170.0
48,Forward,9493,57,23.7,2.9,0.3103448275862069,0.1436848203939745,0.3070683661645423,0.31012324870957547,0.23870220162224798,0.014645577035735208,0.053895723491505565,0.16637375512595196,0.28822495606326887,0.2501464557703574,0.15817223198594024,0.056824838898652606,0.011716461628588167,87,1707.0
49,Defender,5588,33,15.4,1.2,0.5294117647058824,0.18360773085182533,0.2986757337151038,0.30923407301360056,0.20794559770937723,0.006134969325153374,0.024539877300613498,0.18745739604635311,0.294478527607362,0.2903885480572597,0.15405589638718473,0.03749147920927062,0.0054533060668029995,17,1467.0
50,Midfielder,12640,75,17.3,2.7,0.07692307692307693,0.14794303797468356,0.3122626582278481,0.39699367088607596,0.14256329113924052,0.005828476269775187,0.02331390507910075,0.16694421315570357,0.3218151540383014,0.28601165695253955,0.16819317235636969,0.025811823480432972,0.0020815986677768525,91,2402.0
51,Defender,13337,79,17.1,2.9,0.10989010989010989,0.15663192622028943,0.3441553572767489,0.36882357351728273,0.13008922546299767,0.0026933435936898806,0.022316275490573297,0.1639091958445556,0.3116583301269719,0.30781069642170067,0.16891111966140823,0.020777222008464793,0.001923816852635629,91,2599.0
